nct_id,brief_title,why_stopped,termination_category,brief_summary,detailed_description,phase,medical_field,medical_subfield,field_source
NCT01189240,RO4929097and Bevacizumab in Treating Patients With Progressive or Recurrent Malignant Glioma,Company decided to stop development of drug - 7/31/12,Other/Unclear,"This phase I/II trial is studying the side effects and the best dose of RO4929097 to see how well it works when given together with bevacizumab compared to bevacizumab alone in treating patients with progressive or recurrent malignant glioma. RO4929097 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Monoclonal antibodies, such as bevacizumab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Giving RO4929097 together with bevacizumab may kill more tumor cells.","Phase I~Primary Objective:~1. To assess the safety profile of R04929097 in combination with bevacizumab and to determine a recommended Phase II dose of R04929097 in combination with bevacizumab in patients with recurrent malignant glioma~   Secondary Objectives:~2. To describe the toxicity associated with this combination regimen~3. To assess pharmacokinetics of R04929097 in combination with bevacizumab~Phase II I. Assess the safety profile and the recommended phase II dose of gamma-secretase inhibitor RO4929097 (RO4929097) in combination with bevacizumab in patients with recurrent malignant glioma.~II. Assess the progression-free survival at 6 months of patients treated with this regimen.~III. Compare the overall survival of patients with recurrent glioblastoma treated with RO4929097 and bevacizumab versus bevacizumab alone.~SECONDARY OBJECTIVES:~I. Describe the toxicity associated with this regimen in these patients. II. Assess the pharmacokinetics of this regimen in these patients. III. Estimate the proportion of patients alive and progression-free survival at 6 months in patients treated with RO4929097 and bevacizumab versus bevacizumab alone.~IV. Evaluate the safety and tolerability of these regimens in these patients. V. Explore potential prognostic biomarkers from glioma tissue at baseline and potential association with Notch pathway inhibition.~OUTLINE: This is a multicenter, phase I, dose-escalation study of gamma-secretase inhibitor RO4929097 (RO4929097) followed by a randomized phase II study.~PHASE I: Patients receive oral RO4929097 on days 1-3, 8-10, 15-17, and 22-24, and bevacizumab IV over 30-90 minutes on days 1 and 15 (days 2 or 3 and 15 of course 1 only). Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.~PHASE II: Patients are randomized\* to 1 of 2 treatment arms.~ARM I: Patients receive oral RO4929097 on days 1-3, 8-10, 15-17, and 22-24, and bevacizumab IV over 30-90 minutes on days 1 and 15.~ARM II: Patients receive bevacizumab as in arm I.~In both arms, courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.~NOTE: \*If phase II single-arm study demonstrates effectiveness, it will proceed to the phase II randomized study.~Some patients undergo blood sample collection for pharmacokinetic studies. Archived tumor tissue samples are analyzed for potential biomarkers and Notch pathway inhibition.~After completion of study therapy, patients are followed up every 2 months.",PHASE1/PHASE2,Oncology,brain tumor,MeSH
NCT02829827,A Phase 2 Study of Radiprodil in Subjects With Drug-resistant Infantile Spasms (IS),"After reviewing the feasibility and projected completion date of the study, UCB has made the decision to stop the study",Other/Unclear,"The purpose of the study is to evaluate the safety and tolerability, the pharmacokinetics and the efficacy of radiprodil in abolishing clinical spasms in subjects with drug-resistant infantile spasms","The study is divided into 3 parts:~Part A - exploratory, Part B - confirmatory, Part C - open label extension",PHASE2,Neurology,Epilepsy,MeSH
NCT00944333,Second Generation Drug-Eluting Stents Implantation Followed by Six Versus Twelve-Month - Dual Antiplatelet Therapy,STOP due to recent data in literature questioning the need to continue DAP beyond six months in patients with stable coronary artery stenting with DES.,Other/Unclear,"Prospective, randomized, non-inferiority, multicenter, international study.In total 4000 patients (70 centers in Europe) with de novo lesions in native coronary arteries who meet the eligibility criteria randomized to 6 versus 12 month dual antiplatelet therapies following a second generation DES implantation.~Assuming that the true proportion of thrombotic events is equal to 2.3% for both regimens (6-month and 12-month clopidogrel) 2000 patients for each treatment group are necessary to demonstrate a non-inferiority of the 6-months regimen if the proportion of thrombotic events will be no more than 3.5% with a power of 0.80 and a significance level of 0.05 (one-tail).~If the non-inferiority hypothesis will be rejected, the superiority hypothesis (12-months regimen is superior to the 6-months-regimen) will be tested at a significance level of 0.05 (two-tails).~The maximal not clinically relevant difference for the non-inferiority hypothesis of 1.2 % more thrombotic events has to be considered together with the lower expected number of bleeding events in the 6-months regimen.~All the analysis will be done as intention-to-treat analysis.",,PHASE3,Cardiology,Cardiac disorder,MeSH
NCT04750759,Safety and Preliminary Efficacy of the Combination of Niclosamide and Camostat,sub-therapeutic plasma levels of active substance,Other/Unclear,Niclosamide (2000 mg QD) and Camostate (600 mg QID) are expected to be safe and well-tolerated as a combination therapy and to show clinically beneficial for COVID-19 patients.,"Niclosamide is an approved drug for the treatment of intestinal worm infections that can potentially induce the process of autophagy and thus significantly limit viral replication in cells.~Camostat is approved in Japan for the treatment of chronic pancreatitis and reflux esophagitis. It has been shown to effectively block viral replication in a SARS-CoV-2 animal model.~Since the mechanisms of actions are different, it was hypothesized that a combination of both substances might have an additive or even synergistic effect in the treatment of patients with COVID-19.~This study is designed to investigate the safety, tolerability and preliminary efficacy of the treatment combination niclosamide and camostat in mild and moderately affected COVID-19 patients.",PHASE2,Infectious Diseases,Infectious Diseases disorder,MeSH
NCT00215852,"A Randomized, Dose-ranging Study of Alferon LDO in Asymptomatic HIV+ Subjects",,Unknown,To conduct a randomized dose-ranging study to evaluate the safety and activity of orally administered low dose interferon alfa-n3 as an immunomodulator in subjects with asymptomatic HIV-1 infection. The primary endpoints of the study will include an increase or upregulation in genes known to be mediators of interferon response. Secondary endpoints will include the absolute CD4 count and plasma HIV RNA levels.,"This study will be an open-label, randomized outpatient study in HIV infected subjects using a range of doses of Alferon LDO. The first nine (9) patients enrolled will not be randomized. Instead, the first three (3) patients will receive 500 IU, the second three (3) patients will receive 1000 IU, and the final three (3) patients will receive 2000 IU. Once three (3) patients at a given dose level have received at least 8 doses without grade 3 toxicity, patients may be enrolled at the next higher dose level. Following enrollment of the first nine (9) patients, additional patients will be randomized to receive one of the three (3) dose levels of Alferon® LDO. The Alferon LDO (natural interferon alfa-n3) will be in a buffer solution and taken orally once each day for 10 consecutive days at doses equal to 500 IU, 1000 IU, or 2000 IU.~Pretherapy baseline evaluations will be performed within the three (3) week period prior to randomization.~Drug will be dispensed for a ten day treatment period, during which time any clinical symptoms and adverse events will be evaluated. Laboratory samples (2.5 ml blood) for microarray analysis evaluations will be made twice during baseline and 12-14 hours following doses 1, 4, and 10 on study days 2, 5, and 11, respectively.",PHASE2,Infectious Diseases,Infectious Diseases disorder,MeSH
NCT01668680,Maintenance Metronomic Chemotherapy for Metastatic Colorectal Carcinoma,No satisfactory acrual,Other/Unclear,"Colorectal cancer patients with metastases (mCRC) at response under expensive chemotherapy which may be toxic +/- exhausting are candidates for an effective and more convenient maintenance treatment.~Objectives:~1. To define the efficacy of maintenance chemotherapy by a low-dose metronomic (LDM) regimen, in metastatic CRC patients responding under FOLFIRI + bevacizumab.~2. To discover predictive factors for response to this LDM regimen.~Hypothesis:~1. The re-growth of residual metastases can be slowed by the anti-angiogenic effects of LDM chemotherapy.~2. Serial measurements of angiogenic/ inflammatory factors in the plasma and/or evaluation of certain enzymes in the tumor may discover predictive factors of response to LDM chemotherapy in metastatic CRC patients.","At entry to the research protocol the up-till then administered treatment with Intra Venous FOLFIRI+BEVACIZUMAB will be stopped.Instead, the research oral treatment will be initiated to be taken daily on an ambulatory basis and under once monthly re-evaluation. If and when disease progresses the original FOLFIRI+BEVACIZUMAB treatment will be considered for re-institution.",PHASE2,Oncology,colon cancer,Condition
NCT00790478,Melatonin and Ulcerative Colitis: A Pilot Clinical Trial,,Unknown,"Ulcerative colitis is an inflammatory bowel disease that afflicts up to one million people in the U.S. Symptoms include rectal urgency, bloody diarrhea, moderate to severe abdominal pain, fever, and fatigue. Melatonin is a hormone that is associated with sleep and other body functions that may be related to health. Melatonin is produced in the pineal gland and, in fact, it is produced in even greater amounts in the gut. Melatonin appears to be important in gastrointestinal tract physiology and health, and data from cell and animal experiments, and some studies in humans, suggest that supplemental melatonin may help ameliorate colitis. Given that current treatments for ulcerative colitis are not always effective, and often have serious side effects, there is considerable interest in finding alternative treatments for this disease. However, experimental data on the ability of melatonin to improve ulcerative colitis in humans are lacking. To address this, we plan to conduct a pilot clinical trial (60 adult male and female participants) that will obtain preliminary data about the effectiveness of melatonin supplementation as a treatment for ulcerative colitis in adult men and women with the disease.~The Melatonin and Ulcerative Colitis study funded by a grant from the Broad Foundation's Broad Medical Research Program (http://www.broadmedical.org).","Problem of Interest:~Current treatments for ulcerative colitis are not always effective, and often have serious side effects. Therefore, there is considerable interest in finding alternative treatments for this disease. Physiologic data suggest that melatonin is important in gastrointestinal (GI) tract physiology and health, and data from in vitro studies, animal experiments, and some studies in humans suggest that supplemental melatonin may have an ameliorative effect on colitis. However, experimental data on the ability of melatonin to improve ulcerative colitis in humans are lacking. The long-term goal of this proposal is to examine whether melatonin supplementation helps alleviate mild-to-moderate colitis symptoms. To this end, we plan to conduct a pilot randomized, double-blind, placebo-controlled trial (n = 60) that will obtain preliminary data about the effectiveness of melatonin supplementation as a treatment for ulcerative colitis in adult men and women with mild to moderate flare-up of the disease. The specific aims of the trial are: (i) to estimate the effect of 12 weeks of 5 mg/day supplementation with melatonin on ulcerative colitis remission, (ii) to estimate the effects of melatonin supplementation on tissue levels of cytokines and other markers of inflammation, (iii) to determine whether melatonin's effects vary according to baseline (endogenous) melatonin levels, (iv) to determine the feasibility of recruiting and retaining a sufficient number of ulcerative colitis patients for a larger, more definitive study, and (v) to determine whether melatonin supplementation has any adverse side-effects when taken daily for 12 weeks in adults with ulcerative colitis.~How the Problem Will Be Studied:~The overall study design of this trial is that of a randomized, double-blind, placebo-controlled clinical trial. Patients will be recruited from those seeing their IBD clinicians at one of three study sites: Emory University, Atlanta Gastroenterology Associates, or the Atlanta VA Medical Center. Eligibility will be based first on the severity of disease, determined by physician exam, and through sigmoidoscopy (as part of the Mayo Scoring System). The Project Coordinator will meet with patients to further determine eligibility, as there are restrictions based on age, medical history, medications taken, pregnancy, and others. Willing patients who are otherwise eligible at that point will undergo a one-week placebo run-in to assess compliance and any reported side-effects. Eligible patients will undergo their first study sigmoidoscopy, will provide biological samples for processing (blood, urine, and rectal biopsy tissue), and will be randomized into treatment (5 mg/d at bedtime) or placebo (also at bedtime). They will be given sleep logs and symptoms logs to fill out weekly during the trial, and they will fill out a colitis-related quality of life questionnaire. They will be called once per week by the Project Coordinator to check on the study participants, to assess compliance and side-effects, and to answer any questions. There will be a clinical visit two weeks after randomization, to assess symptoms and any side effects. The next scheduled clinical visit is at the end of the trial, where another sigmoidoscopy and sample collection will take place. Any other interim clinical visit will be at the discretion of the patients and his or her study physician. Lastly, patients will complete a questionnaire about colitis-related quality of life during the trial and will be asked as to whether they suspected which treatment arm they were in. The following period will be devoted to data analysis, publication of study results, and closeout. Please see attached protocol for details.~Importance of the Knowledge to be Gained:~The proposed research will have both public health and scientific importance. Ulcerative colitis is not a rare condition, and sufferers often deal with debilitating symptoms. Thus, a greater understanding of ways of treat ulcerative colitis would be of potential relevance to a great number of people.~How the Research Will Advance Scientific Knowledge and/or Human Health~UC is a common gastrointestinal disorder in adults, one that can have debilitating symptoms and severe health consequences. Current treatments are not always effective, and often have serious side effects. Therefore, there is considerable interest in finding alternative treatments for this disease. Physiologic data suggest that melatonin is important in GI tract physiology and health, and data from in vitro studies, animal experiments, and some studies in humans, suggest that supplemental melatonin may have an ameliorative effect on colitis. Given our newly-funded pilot clinical trial was awarded the maximum funding available from the Broad Foundation, with no funds allocated to explore potentially important biological mechanisms, we feel that this is an excellent opportunity to validate potential clinical benefits of melatonin as an adjunctive therapy for UC in humans, with mechanistic insights into the various levels of the inflammatory process that may be influenced by melatonin in vivo. Thus, the proposed study is a) innovative, b) supported by experimental data, and c) may ultimately lead to improved treatment of UC based on clinical and mechanistic knowledge gained through this study conducted in human patients.~To date, there has been no formal clinical trial of melatonin therapy for UC in humans, and there have been few mechanistic investigations into the potential mode of action of this compound on the pathomechanisms identified thus far. Given the very low toxicity documented for even high levels of melatonin in animals and human subjects, this relatively inexpensive treatment may represent an attractive alternative for patient suffering from mild to mid-grade UC given the low incidence of side effects.",PHASE2,Gastroenterology,Gastroenterology disorder,MeSH
NCT00547274,Dyslipidemia in Type 2 Diabetes (0767-034),,Unknown,"The purpose of the study is to compare the lipid-altering effects of MK0767, glipizide, and pioglitazone after 12 weeks of treatment.~This is an early phase trial and some specific protocol information is in progress and not publicly available at this time. (Full information is available to trial participants).",,PHASE3,Endocrinology,Endocrinology disorder,MeSH
NCT00254891,Trial of Paclitaxel/Carboplatin + PF-3512676 vs Paclitaxel/Carboplatin Alone in Patients With Advanced Non-Small Cell Lung Cancer,See Termination Reason in Detailed Description,Other/Unclear,To assess the efficacy and safety of PF-3512676 administered in combination with paclitaxel/carboplatin chemotherapy as first-line treatment in patients with locally advanced or metastatic Non-Small-Cell Lung Cancer (NSCLC) and to compare it to the efficacy and safety of paclitaxel,"PF-3512676 dosing was stopped 20 June 2007 in response to DSMC recommendation to close the trial, citing lack of efficacy concerns as the primary reason with a safety issue (sepsis) also contributing to the decision. Subjects were allowed to complete standard of care treatment/survival follow-up. Data collection was completed on 17 July 2008.",PHASE3,Pulmonology,Pulmonology disorder,MeSH
NCT00305383,Viral Kinetic Study With Viramidine in Therapy-Naive Patients With Chronic Hepatitis C,Dose levels were determined to be subtherapeutic,Other/Unclear,The purpose of this study is to examine the rapid virologic response (RVR) at combination therapy (CT) Week 4 between groups receiving a standard combination peginterferon alfa-2b/viramidine dosing regimen versus a cohort that receives 4 weeks of viramidine monotherapy prior to the start of peginterferon alfa-2b/viramidine combination therapy.,"This Phase 2b multicenter study, which is being conducted solely in the United States, consists of a randomized, double-blind, monotherapy period, where patients will receive either viramidine or placebo for 4 weeks. After the monotherapy period, all patients will receive viramidine plus peginterferon alfa-2b combination therapy for 48 weeks in an open-label fashion and will then participate in a 24-week follow-up period after completion of combination therapy. The RVR at CT Week 4 between groups receiving a standard combination peginterferon alfa-2b/viramidine dosing regimen versus a cohort that receives 4 weeks of viramidine monotherapy prior to the start of peginterferon alfa-2b/viramidine combination therapy will be examined. The differences in virological response during treatment and end of follow-up between African-Americans and Caucasians (non-Hispanics), as well as a correlation between duration of viral negativity (DVN) and sustained virologic response (SVR) based on race and dosing regimen, will also be assessed.",PHASE2,Infectious Diseases,Infectious Diseases disorder,MeSH
NCT02664961,Study of TRC105 and Bevacizumab in Patients With Refractory Gestational Trophoblastic Neoplasia (GTN),"Rare tumor type, patients eligible via expanded access.",Other/Unclear,"The purpose of the study is to determine the overall response rate of single agent TRC105 and the combination of TRC105 and bevacizumab in patients with refractory GTN (including choriocarcinoma, placental site trophoblastic tumor (PSTT), and epithelioid trophoblastic tumor (ETT)). Up to 30 patients will be treated.","TRC105 is a monoclonal antibody that binds to endoglin, an angiogenic target highly expressed on the tumor vessels and tumor cells in gestational trophoblastic neoplasia (GTN). Bevacizumab is a monoclonal antibody to vascular endothelial growth factor (VEGF) that inhibits angiogenesis and extends survival in patients with a wide variety of solid tumor types. TRC105 has been well tolerated as a single agent and when combined with bevacizumab. These antibodies may be efficacious in refractory GTN, a tumor type that is highly vascular and has been shown to densely express endoglin.",PHASE2,Oncology,Other cancer,MeSH
NCT01222143,"Safety and Efficacy Study of Nilotinib Combined With Mitoxantrone, Etoposide, and High-dose Cytarabine Induction Chemotherapy Followed by Consolidation for Patients With C-kit Positive Acute Myeloid Leukemia",,Unknown,"This is a phase I/II open-label study that is evaluating the toxicity and efficacy of nilotinib combined with mitoxantrone, etoposide, and high-dose cytarabine (NOVE-HiDAC) chemotherapy for patients with poor-risk acute myeloid leukemia (AML). There are two parts to the study. The first part (Phase I) will determine the maximum dose of nilotinib that can safely be given when combined with NOVE-HiDAC. This dose will then be used in combination with the NOVE-HiDAC regimen in the second part of the study (Phase II), which will evaluate the antileukemic activity of the treatment. The patients who achieve complete remission from the induction therapy (1 cycle) will then receive consolidation therapy combined with nilotinib (maximum of 2 cycles).~The patient population for this study will have AML and will fall into a poor risk category. This means they have persistent leukemia after induction therapy, they relapse within two years of achieving complete remission with induction therapy, or they have certain poor risk features at diagnosis. The AML cells will also be positive for c-kit (a stem cell factor receptor), which is involved in cancer cell growth. Nilotinib is a drug that blocks the effects of c-kit. Using this drug in combination with chemotherapy may improve ability of the chemotherapy drugs to kill leukemia cells. This may then increase the chances of the leukemia going into complete remission.",,PHASE1/PHASE2,Oncology,leukemia,MeSH
NCT00562887,"Dose Ranging Study Comparing the Efficacy, Safety and Pharmacokinetics of Intravenous Infusions of ABT-874 vs Placebo in Subjects With Active Crohn's Disease",,Unknown,"To compare the efficacy, safety and pharmacokinetics of ABT-874 to placebo in subjects who have moderately to severely active Crohn's Disease.",,PHASE2,Gastroenterology,Gastroenterology disorder,MeSH
NCT00555646,Topical PH-10 Aqueous Hydrogel and Photodynamic Therapy for Psoriasis,Change of dose regimen (new protocol),Other/Unclear,"This is an open label, single center, controlled study with each subject's two treatment plaque areas assigned by the investigator 1:1 to (a) PH-10 with ambient light exposure and (b) PH-10 with 544 nm LED light illumination at 10 J/cm2. A third plaque area will receive no treatment and serve as a control.~Subjects with at least three distinct, stable study plaque areas will receive the experimental therapy to two treatment plaque areas twice a week (2-5 days apart) for the lesser of 12 weeks or until remission is observed in the treatment plaque areas. If remission is observed in a treatment plaque area then treatment of that area will be discontinued and the area assessed weekly. A third plaque area (control plaque area) will receive no drug or light treatment and serve as an internal control.~Primary efficacy will be assessed 12 weeks after initial PH-10 treatment. Subjects will be followed for a total of 16 weeks to allow assessment of Durability of Response of treated lesions and comprehensive follow-up of adverse events.",,PHASE2,Dermatology,Dermatology disorder,Condition
