nct_id,brief_title,why_stopped,brief_summary,detailed_description
NCT00947388,Bendamustine Plus Alemtuzumab for Refractory Chronic Lymphocytic Leukemia (CLL),No more eligible patients,"This phase I trial is studying the side effects and best dose of alemtuzumab when given together with bendamustine hydrochloride in treating patients with relapsed chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) that did not respond to fludarabine phosphate. Drugs used in chemotherapy, such as bendamustine hydrochloride, work in different ways to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Monoclonal antibodies, such as alemtuzumab, can also block cancer growth in different ways. Some block the ability of cancer cells to grow and spread. Others find cancer cells and help kill them or carry cancer-killing substances to them. Giving bendamustine hydrochloride together with alemtuzumab may kill more cancer cells.","PRIMARY OBJECTIVES:~I. Evaluate the safety of the combination of alemtuzumab and bendamustine (bendamustine hydrochloride) in patients with advanced CLL.~II. Establish the maximum tolerated dose of alemtuzumab up to the standard dose of 30mg thrice weekly when combined with bendamustine at a standard dose of 70 mg/m\^2 day 8 and 9 monthly.~III. Define a recommended dose for subsequent Phase II studies. IV. Evaluate preliminary evidence of activity as determined by response rates with correlation to EAS flow cytometry.~OUTLINE: This is a dose-escalation study of alemtuzumab.~Patients receive bendamustine hydrochloride intravenously (IV) over 30-60 minutes on days 8 and 9 for up to 6 courses in the absence of disease progression or unacceptable toxicity and alemtuzumab subcutaneously (SC) on days 1, 3, 5, 8, 10, 12, 15, 17, 19, 22, 24, and 26.~After completion of study treatment, patients are followed every 3 months for 1 year."
NCT04430036,AGEN1884 Plus AGEN2034 Combined With Cisplatin-Gemcitabine for Muscle-Invasive Bladder Cancer,PI left the institution,"This is a phase II trial to evaluate the tolerability, efficacy, and immune outcomes of AGEN1884 plus AGEN2034 concurrent with cisplatin and gemcitabine in the neoadjuvant treatment of muscle-invasive, non-metastatic bladder cancer prior to radical cystectomy.","We will begin with an initial safety run-in to establish the safety of the combination prior to expansion to the full planned phase II. The overall phase II will be an open-label, single arm study in two stages to evaluate the efficacy of the combination in pathologic downstaging of MIBC. Patients will receive four 21-day cycles of neoadjuvant therapy consisting of cisplatin and gemcitabine plus AGEN2034 in all 4 cycles and AGEN1884 in cycles 1 and 3. Patients will proceed to radical cystectomy within 10 weeks after the final dose of this therapy. The primary endpoint of pathologic tumor downstaging will be assessed at the time of cystectomy."
NCT00122629,Triple Therapy With Peg-Interferon Alfa-2b/Ribavirin Plus Amantadine Compared to Standard Peg-Interferon Alfa-2b/Ribavirin for Previous Hepatitis C Virus (HCV) Non Responders,,Triple antiviral therapy with peg-interferon-alfa/ribavirin+amantadine was suggested to increase sustained virological response (SVR) rates in HCV non-responders to a standard interferon/ribavirin combination.~Patients with hepatitis C virus infection were eligible if they had failed to respond to a single previous 24 week cycle of interferon/ribavirin combination therapy. Non-response was defined as persistent HCV RNA in the serum during the last month of treatment.~This study tested the efficacy and safety of pegylated interferon alfa-2b with ribavirin and amantadine or a placebo for 48 weeks.,"Triple antiviral therapy with peg-interferon-alfa/ribavirin + amantadine was suggested to increase sustained virological response (SVR) rates in HCV non-responders to a standard interferon/ribavirin combination.~The aim of this study is to determine if the addition of amantadine to PEG-IFN/ribavirin enhances SVR.~This study is a double blind, comparative, prospective multicenter, randomized study. Patients are recruited from 23 hepatology centers in France. The protocol was approved by the French ethical committee and all patients provided written informed consent. Eligible subjects are randomly assigned to the two treatment groups in equal proportions. The randomization process is generated by the Department of Biostatistics, Hospices Civils de Lyon, Lyon, France.~Main inclusion criteria are: elevated ALT, detectable HCV RNA, Metavir score over or equal to A1F1 and below or equal to F3. Patients received PEG-IFN 1.5µg/kg/week, ribavirin 800-1200mg/day and amantadine 200mg/day or placebo during 48 weeks.~The primary endpoint is a sustained virological response, defined as an undetectable HCV-RNA 24 weeks after treatment discontinuation (week 72). Secondary endpoints are the biochemical response at week 72 defined as ALT normalization; histological benefit; tolerance; and virological and biochemical responses during therapy at weeks 12, 24 and 48."
NCT00853489,rhBMP-2 Versus Autograft in Critical Size Tibial Defects,Enrollment too slow,The purpose of our study is to evaluate the use of recombinant human bone morphogenetic protein 2 (RhBMP-2) as compared to standard ICBG in the treatment of severe open tibia fractures with a critical size bone defect (at least one centimeter in length compromising at least 50% of the circumference of the bone).,"Open tibia fractures have a 15% or higher rate of not healing. Those fractures which do not heal are typically treated with bone from the hip (iliac crest autograft; or ICBG). The use of ICBG bone with the treatment of delayed unions/non-unions with critical defect, although successful, has its drawbacks. The bone graft sources are limited and the procedure is associated with additional operating room time plus a second incision with increased risk of infection, post operative pain and increased hospital stay. The purpose of this study is to determine if Rh-BMP2, a new bone graft substitute, is at least as effective as using bone from the hip (autograft) to help promote healing of open, tibia (shin bone) fractures.~Research Questions:~Primary:~What is the relative effect of rhBMP-2 versus autogenous ICBG on rates of union in patients with critical size defects following tibial shaft fractures?~Null hypothesis #1: rhBMP-2 has the same union rate when used in critical-sized defects as does ICBG.~Secondary:~What is the relative effect of rhBMP-2 versus autogenous ICBG on infection rates in patients with nonunion or critical size defects following tibial shaft fractures?~Null hypothesis #2: The infection rate in open tibias with critical-sized defects treated with rhBMP-2 and autogenous ICBG are the same.~What is the economic impact of the use of Rh-BMP 2 for tibial fractures with critical sized defects?~Null hypothesis #3: There will be no difference in the economic cost of the treatment of critical sized defects using the RhBMP-2 versus iliac crest bone graft."
NCT00793546,Study Evaluating Bosutinib-Exemestane Combination Vs Exemestane Alone in Post Menopausal Women With Breast Cancer,See termination reason in detailed description.,"This is a phase 2, open-label, multicenter, 2-arm study of bosutinib administered in combination with exemestane versus exemestane alone. This is a 2-part study consisting of a safety lead-in phase and randomized phase 2 portion. Subjects in part 1 will receive bosutinib and exemestane daily, and will be closely monitored for 28 days. If no safety concerns arise, then future eligible subjects will be randomly assigned to the main phase of the study. They will either receive bosutinib daily combined with daily exemestane, or daily exemestane alone for a specified period of time. Subjects will be followed up for survival after treatment discontinuation.",This study was terminated on 19 Apr 2010 due to unfavorable risk benefit ratio which did not support continuation in part 2 of the study. Even if the safety profile of the combination of Bosutinib and Exemestane was acceptable 25% of subjects had treatment related liver events including 14% of severe liver events.
NCT02795325,A Study of DCR-PH1 in Patients With Primary Hyperoxaluria Type 1 (PH1),,"A phase 1 study of DCR-PH1 in patients with primary hyperoxaluria type 1 (PH1) to determine the safety, tolerability, pharmacokinetic (PK) and pharmacodynamics (PD) effects of DCR-PH1 administered via-intravenous infusion (IV)",
NCT04735575,A Ph1/2 Study of EMB-06 in Participants With Relapsed or Refractory Myeloma,Company's resource optimization and product's development change,"The primary purpose of this study is to identify the recommended Phase 2 dose(s) (RP2Ds) and schedule assessed to be safe for EMB-06 and to characterize the safety and tolerability of EMB-06 at the RP2Ds. Pharmacokinetics (PK), immunogenicity, and the anti-multiple myeloma activity of EMB-06 will also be assessed.","This is a Phase I/II, multi-center, open label, multiple-dose, first in human study, designed to assess safety and tolerability, and to identify the maximum tolerated dose (MTD) and/or recommended Phase 2 dose (RP2D) for EMB-06 in patients with relapsed or refractory multiple myeloma. Pharmacokinetics, pharmacodynamics, immunogenicity, and response will also be assessed."
NCT04393727,Transfusion of Convalescent Plasma for the Early Treatment of Patients With COVID-19,Study was stopped because the Promoter was changed and a new study on convalescent plasma promoted by AIFA was started in Italy.,"No specific therapeutic agents or vaccines for COVID-19 are available. Several therapies, are under investigation, but the antiviral efficacy of these drugs is not yet known. The use of convalescent plasma was recommended as an empirical treatment during outbreaks of Ebola virus in 2014, and a protocol for treatment of Middle East respiratory syndrome coronavirus with convalescent plasma was established in 2015. Accordingly, we hypothesized that use of convalescent plasma transfusion could be beneficial in patients infected with SARS-CoV-2.~This is a multicenter prospective randomized clinical trial to evaluate safety and efficacy of early use of convalescent plasma in patients with SARS-CoV2 pneumonia.~Primary endpoint will be the efficacy, evaluated as the need of invasive mechanical ventilation defined by PaO2/FiO2 ratio \<150.~Secondary endpoints will be: mortality rates, time to invasive mechanical ventilation, time to virological cure, length of hospital stay, toxicity.~Patients with SARS-CoV2 pneumonia not requiring mechanical ventilation (both non invasive and invasive) will be randomized 1:1 to receive or not convalescent plasma. Patients in the plasma group will receive 200 ml of convalescent plasma, continuing already administered standard therapy, while patients in the control group will continue to receive the standard therapy. A rescue therapy will be allowed in case of clinical worsening.~Patients will be followed-up until 30 days from randomization.","This is a multicenter prospective randomized open-label clinical trials. Patients with pneumonia due to SARS-CoV-2 will be included and randomized to receive or not convalescent plasma.~Convalescent plasma will be collected by cured patients with previous diagnosis of COVID-19. More specifically, inclusion and exclusion criteria for donors will be the following.~Inclusion criteria for donors:~* age \> 18 and \<60 years~* confirmed diagnosis of COVID-19: PCR on nasopharynx swab or positive IgG~* presence of 2 negative nasopharynx swabs for patients with previous positive swab and presence of 1 negative nasopharynx swab for patients with positive IgG~Exclusion criteria for donors:~* age \< 18 ys or \>60 ys~* other conditions that controindicate blood donation~Collected plasma will undergo all procedures for blood preparation. Plasma will be tested with enzyme-linked immunosorbent assay (ELISA) and neutralizing antibody titers.~Patients eligible for the study will be selected among hospitalized patients with SARS-CoV2 pneumonia. More specifically, the following criteria will used for inclusion in the study.~Inclusion criteria for recipients:~* age \>18 ys~* confirmed diagnosis of SARS-CoV2 pneumonia~* PaO2/FiO2 200-350~Exclusion criteria for recipients:~* PaO2/FiO2 \<200~* need of non invasive or invasive mechanical ventilation~Patients will be randomized 1:1 to receive or not convalescent plasma. All patients will be followed-up for 30 days after randomization.~Primary endpoint will be the need of mechanical ventilation, defined as PaO2/FiO2 \<150."
NCT00777387,Randomized Controlled Trial Comparing Slow-freezing to Vitrification of Oocytes,Studies emerged that demonstrated the superiority of vitrification,"Preservation of fertility is limited. Current methods include embryo cryopreservation and while still experimental, ovarian cryopreservation. In single women who are at risk for infertility secondary to cancer or couples who have ethical reasons to avoid embryo cryopreservation, oocyte cryopreservation is an alternative Purpose of study is to compare slow freeze to vitrification of human oocytes. Successful cryopreservation and subsequent thawing programs are characterized by avoiding ice crystal formation.Vitrification, newer alternative to slow freeze method, process by which water is prevented from forming ice.~Our hypothesis is that higher survival rate per oocyte is to be expected in the vitrification group.","Although several reviews of smaller studies of cryoprotectant methodology exist randomized controlled trials,comparing slow-freeze-rapid-thaw procedure to vitrification of oocytes, are not available. The purpose of this study is to compare these two methods of oocyte cryopreservation in human oocytes."
NCT01208493,Dietary Protein in the Very-low-birth-weight Infant,,"In this randomized study The investigators aim to compare the growth of very-low-birth-weight (VLBW) infants fed either a high protein or a standard protein preterm infant formula.~Babies will be fed the assigned formula between the time they achieve full enteral feeds and hospital discharge, for a minimum of 3 weeks. The weight gain (g/d) will be measured and compared between groups. Feeding tolerance, protein-energy status and body composition between the study groups will also be analysed.~After discharge, babies will be fed a post-discharge preterm infant formula (PDF) between hospital discharge and 3 m corrected age.",
NCT05156229,A Phase 1/2a Study of CDK-003 in Patients With Cutaneous T-Cell Lymphoma (CTCL).,PK/PD from two patients plus the healthy volunteer data confirmed the RP2D and manageable safety profile. Proceeding to Phase II did not require additional data from this Phase I Dose-Finding study.,"This is a Phase 1, dose escalation study to assess the safety, tolerability, pharmacokinetic and pharmacodynamic effects of CDK-003. The study is performed in two parts: Part A is a randomized, double-blind, placebo-controlled, single ascending dose study of CDK-003 in healthy adult male participants, and Part B is a single arm, open-label, multiple ascending dose in patient-participants with CTCL. Dose escalation in the study will only occur after satisfactory review of all available predefined data by the Safety Review Committee. Part A is complete and this entry describes Part B only.",
