nct_id,input_why_stopped,model,raw_response,primary_reasons,reasoning_traces,confidence,explanation
NCT03904108,insufficient patient population to complete trial as planned,deepseek-chat,"{
    ""nct_id"": ""NCT03904108"",
    ""primary_reasons"": [""Insufficient Enrolment""],
    ""reasoning_traces"": {
        ""Insufficient Enrolment"": [""Evidence: \""insufficient patient population to complete trial as planned\"" (why_stopped)"", ""Evidence: \""Up to 25 evaluable participants will be enrolled over a period of 2 years. Seven patients will be recruited at the first stage\"" (brief_summary)"", ""Inference: The explicit termination reason directly states insufficient patient population, which aligns with the trial's enrollment target of 25 patients over 2 years, indicating recruitment challenges prevented completion.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Clear, direct statement in why_stopped field indicates termination due to insufficient patient enrollment to complete the trial as planned.""
}",['Insufficient Enrolment'],"{'Insufficient Enrolment': ['Evidence: ""insufficient patient population to complete trial as planned"" (why_stopped)', 'Evidence: ""Up to 25 evaluable participants will be enrolled over a period of 2 years. Seven patients will be recruited at the first stage"" (brief_summary)', ""Inference: The explicit termination reason directly states insufficient patient population, which aligns with the trial's enrollment target of 25 patients over 2 years, indicating recruitment challenges prevented completion.""]}",High,"Clear, direct statement in why_stopped field indicates termination due to insufficient patient enrollment to complete the trial as planned."
NCT00144105,,deepseek-chat,"{
    ""nct_id"": ""NCT00144105"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' indicates no termination reason provided"", ""Evidence: 'brief_summary' describes the study purpose but gives no termination information"", ""Evidence: 'detailed_description: NaN' provides no additional context about termination"", ""Inference: The trial record contains no explicit explanation for why it was terminated, only stating it was terminated without further details.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""The trial record provides no explanation for termination, with empty why_stopped field and no relevant information in other fields.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' indicates no termination reason provided"", ""Evidence: 'brief_summary' describes the study purpose but gives no termination information"", ""Evidence: 'detailed_description: NaN' provides no additional context about termination"", 'Inference: The trial record contains no explicit explanation for why it was terminated, only stating it was terminated without further details.']}",High,"The trial record provides no explanation for termination, with empty why_stopped field and no relevant information in other fields."
NCT01189240,Company decided to stop development of drug - 7/31/12,deepseek-chat,"{
    ""nct_id"": ""NCT01189240"",
    ""primary_reasons"": [""Business or Administrative""],
    ""reasoning_traces"": {
        ""Business or Administrative"": [""Evidence: \""Company decided to stop development of drug - 7/31/12\"" (why_stopped)"", ""Inference: The explicit statement indicates a sponsor/company decision to halt drug development, which falls under business/administrative reasons rather than scientific outcomes like safety or efficacy.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Clear sponsor decision to stop drug development without mention of safety, efficacy, or other scientific reasons.""
}",['Business or Administrative'],"{'Business or Administrative': ['Evidence: ""Company decided to stop development of drug - 7/31/12"" (why_stopped)', 'Inference: The explicit statement indicates a sponsor/company decision to halt drug development, which falls under business/administrative reasons rather than scientific outcomes like safety or efficacy.']}",High,"Clear sponsor decision to stop drug development without mention of safety, efficacy, or other scientific reasons."
NCT02829827,"After reviewing the feasibility and projected completion date of the study, UCB has made the decision to stop the study",deepseek-chat,"{
    ""nct_id"": ""NCT02829827"",
    ""primary_reasons"": [""Business or Administrative""],
    ""reasoning_traces"": {
        ""Business or Administrative"": [""Evidence: \""After reviewing the feasibility and projected completion date of the study, UCB has made the decision to stop the study\"" (why_stopped)"", ""Inference: The sponsor (UCB) made a strategic decision based on feasibility review and timeline projections, which falls under sponsor decisions/strategic reasons rather than scientific or safety concerns.""]
    },
    ""confidence"": ""Medium"",
    ""explanation"": ""Sponsor decision based on feasibility and timeline review without explicit scientific or safety rationale.""
}",['Business or Administrative'],"{'Business or Administrative': ['Evidence: ""After reviewing the feasibility and projected completion date of the study, UCB has made the decision to stop the study"" (why_stopped)', 'Inference: The sponsor (UCB) made a strategic decision based on feasibility review and timeline projections, which falls under sponsor decisions/strategic reasons rather than scientific or safety concerns.']}",Medium,Sponsor decision based on feasibility and timeline review without explicit scientific or safety rationale.
NCT00944333,STOP due to recent data in literature questioning the need to continue DAP beyond six months in patients with stable coronary artery stenting with DES.,deepseek-chat,"{
    ""nct_id"": ""NCT00944333"",
    ""primary_reasons"": [""Another Study""],
    ""reasoning_traces"": {
        ""Another Study"": [""Evidence: \""STOP due to recent data in literature questioning the need to continue DAP beyond six months in patients with stable coronary artery stenting with DES.\"" (why_stopped)"", ""Inference: The explicit mention of 'recent data in literature' indicates external research findings made continuing this trial unnecessary or obsolete, directly matching the 'Another Study' category.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Trial terminated because external literature data questioned the clinical need for the longer treatment duration being studied.""
}",['Another Study'],"{'Another Study': ['Evidence: ""STOP due to recent data in literature questioning the need to continue DAP beyond six months in patients with stable coronary artery stenting with DES."" (why_stopped)', ""Inference: The explicit mention of 'recent data in literature' indicates external research findings made continuing this trial unnecessary or obsolete, directly matching the 'Another Study' category.""]}",High,Trial terminated because external literature data questioned the clinical need for the longer treatment duration being studied.
NCT04750759,sub-therapeutic plasma levels of active substance,deepseek-chat,"{
    ""nct_id"": ""NCT04750759"",
    ""primary_reasons"": [""Logistics or Resources""],
    ""reasoning_traces"": {
        ""Logistics or Resources"": [""Evidence: 'sub-therapeutic plasma levels of active substance' (why_stopped)"", ""Inference: 'Sub-therapeutic plasma levels' indicates the drug formulation, manufacturing, or delivery method failed to achieve adequate drug concentrations in patients, which is a drug supply/performance issue rather than a scientific finding about efficacy or safety.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Trial terminated due to failure to achieve adequate drug plasma levels, indicating a drug formulation or delivery problem rather than efficacy or safety findings.""
}",['Logistics or Resources'],"{'Logistics or Resources': [""Evidence: 'sub-therapeutic plasma levels of active substance' (why_stopped)"", ""Inference: 'Sub-therapeutic plasma levels' indicates the drug formulation, manufacturing, or delivery method failed to achieve adequate drug concentrations in patients, which is a drug supply/performance issue rather than a scientific finding about efficacy or safety.""]}",High,"Trial terminated due to failure to achieve adequate drug plasma levels, indicating a drug formulation or delivery problem rather than efficacy or safety findings."
NCT00215852,,deepseek-chat,"{
    ""nct_id"": ""NCT00215852"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' indicates no termination reason provided in the designated field."", ""Evidence: The 'brief_summary' and 'detailed_description' fields contain only study design and methodology details with no mention of termination, completion, or reasons for stopping."", ""Inference: Without any explicit text about termination or reasons for stopping in any field, the trial record provides no context for why it might have been terminated.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""The trial record contains no information about termination in any field, meeting the exact definition of 'No Context' category.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' indicates no termination reason provided in the designated field."", ""Evidence: The 'brief_summary' and 'detailed_description' fields contain only study design and methodology details with no mention of termination, completion, or reasons for stopping."", 'Inference: Without any explicit text about termination or reasons for stopping in any field, the trial record provides no context for why it might have been terminated.']}",High,"The trial record contains no information about termination in any field, meeting the exact definition of 'No Context' category."
NCT01668680,No satisfactory acrual,deepseek-chat,"{
    ""nct_id"": ""NCT01668680"",
    ""primary_reasons"": [""Insufficient Enrolment""],
    ""reasoning_traces"": {
        ""Insufficient Enrolment"": [""Evidence: 'No satisfactory acrual' (why_stopped)"", ""Inference: The explicit statement 'No satisfactory acrual' directly indicates insufficient patient enrollment as the reason for termination, with 'acrual' being a clear misspelling of 'accrual'.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""The trial was terminated due to insufficient patient enrollment, as explicitly stated in the why_stopped field without contradictory evidence in other sections.""
}",['Insufficient Enrolment'],"{'Insufficient Enrolment': [""Evidence: 'No satisfactory acrual' (why_stopped)"", ""Inference: The explicit statement 'No satisfactory acrual' directly indicates insufficient patient enrollment as the reason for termination, with 'acrual' being a clear misspelling of 'accrual'.""]}",High,"The trial was terminated due to insufficient patient enrollment, as explicitly stated in the why_stopped field without contradictory evidence in other sections."
NCT00790478,,deepseek-chat,"{
    ""nct_id"": ""NCT00790478"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' (explicitly null/empty)"", ""Inference: The 'why_stopped' field contains no information about termination reasons. The 'brief_summary' and 'detailed_description' describe the study's rationale, design, and aims but contain no text indicating termination, early stopping, or reasons for discontinuation. Without any explicit statement about trial status or reasons for stopping, only the 'No Context' category applies.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""The trial record provides no information about termination; all fields describe study plans without any indication of actual stopping or reasons.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' (explicitly null/empty)"", ""Inference: The 'why_stopped' field contains no information about termination reasons. The 'brief_summary' and 'detailed_description' describe the study's rationale, design, and aims but contain no text indicating termination, early stopping, or reasons for discontinuation. Without any explicit statement about trial status or reasons for stopping, only the 'No Context' category applies.""]}",High,The trial record provides no information about termination; all fields describe study plans without any indication of actual stopping or reasons.
NCT00547274,,deepseek-chat,"{
    ""nct_id"": ""NCT00547274"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' indicates no termination reason provided"", ""Evidence: 'brief_summary' contains only study purpose and protocol status information, with no mention of termination"", ""Inference: The trial record lacks any explicit statement about why the trial was stopped, meeting the definition of 'Stopped, Terminated without further explanation' in the taxonomy""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""No termination reason provided in any field, requiring classification as No Context.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' indicates no termination reason provided"", ""Evidence: 'brief_summary' contains only study purpose and protocol status information, with no mention of termination"", ""Inference: The trial record lacks any explicit statement about why the trial was stopped, meeting the definition of 'Stopped, Terminated without further explanation' in the taxonomy""]}",High,"No termination reason provided in any field, requiring classification as No Context."
NCT00254891,See Termination Reason in Detailed Description,deepseek-chat,"{
    ""nct_id"": ""NCT00254891"",
    ""primary_reasons"": [""Negative"", ""Safety and Side Effects""],
    ""reasoning_traces"": {
        ""Negative"": [""Evidence: \""citing lack of efficacy concerns as the primary reason\"" (detailed_description)"", ""Inference: The DSMC explicitly identified lack of efficacy as the primary reason for recommending trial closure, which falls under the Negative category (lack of efficacy/futility).""],
        ""Safety and Side Effects"": [""Evidence: \""with a safety issue (sepsis) also contributing to the decision\"" (detailed_description)"", ""Inference: The DSMC cited a specific safety issue (sepsis) as a contributing factor to the termination decision, which directly maps to the Safety and Side Effects category.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""DSMC recommendation cited both lack of efficacy (primary reason) and a safety issue (sepsis) as reasons for trial termination.""
}","['Negative', 'Safety and Side Effects']","{'Negative': ['Evidence: ""citing lack of efficacy concerns as the primary reason"" (detailed_description)', 'Inference: The DSMC explicitly identified lack of efficacy as the primary reason for recommending trial closure, which falls under the Negative category (lack of efficacy/futility).'], 'Safety and Side Effects': ['Evidence: ""with a safety issue (sepsis) also contributing to the decision"" (detailed_description)', 'Inference: The DSMC cited a specific safety issue (sepsis) as a contributing factor to the termination decision, which directly maps to the Safety and Side Effects category.']}",High,DSMC recommendation cited both lack of efficacy (primary reason) and a safety issue (sepsis) as reasons for trial termination.
NCT00305383,Dose levels were determined to be subtherapeutic,deepseek-chat,"{
    ""nct_id"": ""NCT00305383"",
    ""primary_reasons"": [""Negative""],
    ""reasoning_traces"": {
        ""Negative"": [""Evidence: \""Dose levels were determined to be subtherapeutic\"" (why_stopped)"", ""Inference: The explicit statement that dose levels were 'subtherapeutic' indicates lack of efficacy or insufficient therapeutic effect, which falls under the 'Negative' category (lack of efficacy, futility, or risk-benefit ratio no longer favorable).""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Clear evidence of subtherapeutic dosing leading to trial termination due to lack of efficacy.""
}",['Negative'],"{'Negative': ['Evidence: ""Dose levels were determined to be subtherapeutic"" (why_stopped)', ""Inference: The explicit statement that dose levels were 'subtherapeutic' indicates lack of efficacy or insufficient therapeutic effect, which falls under the 'Negative' category (lack of efficacy, futility, or risk-benefit ratio no longer favorable).""]}",High,Clear evidence of subtherapeutic dosing leading to trial termination due to lack of efficacy.
NCT02664961,"Rare tumor type, patients eligible via expanded access.",deepseek-chat,"{
    ""nct_id"": ""NCT02664961"",
    ""primary_reasons"": [""Insufficient Enrolment""],
    ""reasoning_traces"": {
        ""Insufficient Enrolment"": [""Evidence: 'Rare tumor type, patients eligible via expanded access.' (why_stopped)"", ""Inference: The explicit mention of 'rare tumor type' indicates the primary challenge was finding enough eligible patients to enroll, which aligns with the Insufficient Enrolment category. The reference to 'expanded access' suggests alternative pathways were available for treatment, making trial continuation unnecessary.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Trial terminated due to challenges enrolling patients for a rare tumor type, with alternative treatment access available.""
}",['Insufficient Enrolment'],"{'Insufficient Enrolment': [""Evidence: 'Rare tumor type, patients eligible via expanded access.' (why_stopped)"", ""Inference: The explicit mention of 'rare tumor type' indicates the primary challenge was finding enough eligible patients to enroll, which aligns with the Insufficient Enrolment category. The reference to 'expanded access' suggests alternative pathways were available for treatment, making trial continuation unnecessary.""]}",High,"Trial terminated due to challenges enrolling patients for a rare tumor type, with alternative treatment access available."
NCT01222143,,deepseek-chat,"{
    ""nct_id"": ""NCT01222143"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' (explicitly missing)"", ""Evidence: No termination-related statements found in 'brief_summary'"", ""Evidence: 'detailed_description: NaN' (explicitly missing)"", ""Inference: The record provides no explicit explanation for termination; the 'why_stopped' field is empty, and other fields contain only study design/background information with no mention of termination reasons.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""The trial record contains no information about why it was terminated, with empty 'why_stopped' and 'detailed_description' fields and no termination context in the summary.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' (explicitly missing)"", ""Evidence: No termination-related statements found in 'brief_summary'"", ""Evidence: 'detailed_description: NaN' (explicitly missing)"", ""Inference: The record provides no explicit explanation for termination; the 'why_stopped' field is empty, and other fields contain only study design/background information with no mention of termination reasons.""]}",High,"The trial record contains no information about why it was terminated, with empty 'why_stopped' and 'detailed_description' fields and no termination context in the summary."
NCT00562887,,deepseek-chat,"{
    ""nct_id"": ""NCT00562887"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' (why_stopped field)"", ""Evidence: No termination information in brief_summary or detailed_description fields"", ""Inference: The trial record provides no explicit explanation for termination, only stating the study objectives without mentioning why it was stopped.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""No termination reason provided in any field; only study objectives described without explanation of why trial ended.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' (why_stopped field)"", 'Evidence: No termination information in brief_summary or detailed_description fields', 'Inference: The trial record provides no explicit explanation for termination, only stating the study objectives without mentioning why it was stopped.']}",High,No termination reason provided in any field; only study objectives described without explanation of why trial ended.
NCT00555646,Change of dose regimen (new protocol),deepseek-chat,"{
    ""nct_id"": ""NCT00555646"",
    ""primary_reasons"": [""Study Design""],
    ""reasoning_traces"": {
        ""Study Design"": [""Evidence: 'Change of dose regimen (new protocol)' (why_stopped)"", ""Inference: The explicit statement indicates the trial was terminated due to a protocol amendment requiring a new dose regimen, which falls under protocol flaws or design amendments in the Study Design category.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Trial terminated explicitly due to a protocol change involving dose regimen modification.""
}",['Study Design'],"{'Study Design': [""Evidence: 'Change of dose regimen (new protocol)' (why_stopped)"", 'Inference: The explicit statement indicates the trial was terminated due to a protocol amendment requiring a new dose regimen, which falls under protocol flaws or design amendments in the Study Design category.']}",High,Trial terminated explicitly due to a protocol change involving dose regimen modification.
NCT02075021,PI left the institution,deepseek-chat,"{
    ""nct_id"": ""NCT02075021"",
    ""primary_reasons"": [""Study Staff Moved""],
    ""reasoning_traces"": {
        ""Study Staff Moved"": [""Evidence: \""PI left the institution\"" (why_stopped)"", ""Inference: The why_stopped field explicitly states the Principal Investigator departed, which directly maps to the 'Study Staff Moved' category. No contradictory or additional termination reasons are mentioned in brief_summary or detailed_description.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""Trial termination was explicitly due to the Principal Investigator leaving the institution, with no evidence of other contributing factors.""
}",['Study Staff Moved'],"{'Study Staff Moved': ['Evidence: ""PI left the institution"" (why_stopped)', ""Inference: The why_stopped field explicitly states the Principal Investigator departed, which directly maps to the 'Study Staff Moved' category. No contradictory or additional termination reasons are mentioned in brief_summary or detailed_description.""]}",High,"Trial termination was explicitly due to the Principal Investigator leaving the institution, with no evidence of other contributing factors."
NCT00793650,,deepseek-chat,"{
    ""nct_id"": ""NCT00793650"",
    ""primary_reasons"": [""No Context""],
    ""reasoning_traces"": {
        ""No Context"": [""Evidence: 'why_stopped: NaN' (why_stopped field)"", ""Evidence: No termination information in brief_summary or detailed_description fields"", ""Inference: The trial record contains no explicit explanation for termination, only stating the study goal without any indication of why it was stopped.""]
    },
    ""confidence"": ""High"",
    ""explanation"": ""No termination reason provided in any field, meeting the 'No Context' category definition.""
}",['No Context'],"{'No Context': [""Evidence: 'why_stopped: NaN' (why_stopped field)"", 'Evidence: No termination information in brief_summary or detailed_description fields', 'Inference: The trial record contains no explicit explanation for termination, only stating the study goal without any indication of why it was stopped.']}",High,"No termination reason provided in any field, meeting the 'No Context' category definition."
